id,customer_id,shipping_address_id,billing_address_id,coupon_id,status,subtotal,discount_amount,tax_amount,shipping_cost,total_amount,order_date,created_at,updated_at
2598,486,745,744,,cancelled,60.9,0,4.87,0,65.77,2023-04-09 08:03:53,2023-04-09 08:03:53,2023-04-09 08:03:53
7551,863,1306,1307,,returned,UNKNOWN,0,46.96,0,N/A,2024-09-05 07:49:22,2024-09-05 07:49:22,2024-09-05 07:49:22
969,3740,5639,5639,,delivered,1258.42,0,100.67,0,1359.09,,2025-01-22 12:35:08,2025-01-22 12:35:08
8105,2931,4436,4437,,returned,748.17,0,-59.85,,,2024-11-21 18:59:49,2024-11-21 18:59:49,2024-11-21 18:59:49
494,1465,2205,2205,,delivered,4345.33,0,347.63,0,,3024-12-03 20:28:04,2024-12-03 20:28:04,2024-12-03 20:28:04
2044,529,816,816,,delivered,1119.95,0,89.6,0,1209.55,2025-04-08 07:36:27,2025-04-08 07:36:27,2025-04-08 07:36:27
5111,2373,3592,3592,,shipped,1415.27,0,113.22,0,1528.49,,2025-04-20 08:48:20,2025-04-20 08:48:20
8075,368,567,568,2,delivered,245.84,61.46,14.75,0,,2022-09-11 22:03:33,2022-09-11 22:03:33,2022-09-11 22:03:33
3663,1877,2834,2835,,delivered,2405.21,0,192.42,0,,2024-06-28 06:33:49,2024-06-28 06:33:49,2024-06-28 06:33:49
8912,2043,3096,3097,31,cancelled,2740.2,10,218.42,0,2948.62,2024-03-01 06:11:15,2024-03-01 06:11:15,2024-03-01 06:11:15
9524,3442,5194,5195,,deliverd,619.66,0,49.57,0,669.23,2025-03-26 02:26:09,2025-03-26 02:26:09,2025-03-26 02:26:09
9190,2969,4495,4496,,delivered,489.05,,TBD,,528.17,2024-11-11 21:45:16,2024-11-11 21:45:16,2024-11-11 21:45:16
8141,857,1297,1298,,,286.85,0,22.95,0,,2025-04-06 06:44:51,  2025-04-06 06:44:51  ,
6118,4882,7340,7341,,DELIVERED,1026.75,0,82.14,0,1108.89,,2023-01-16 02:45:05,2023-01-16 02:45:05
4249,4089,6165,6166,,,1497.01,0,119.76,0,1616.77,2025-03-29 05:34:40,2025-03-29 05:34:40,2025-03-29 05:34:40
1615,4347,6550,6550,28,delivered,4865,243.25,369.74,TBD,4991.49,2024-09-12 03:33:00,2024-09-12 03:33:00,2024-09-12 03:33:00
6083,1975,2992,2993,,returned,30.59,0,2.45,9.99,43.03,2024-07-08 16:16:48,2024-07-08 16:16:48,2024-07-08 16:16:48
1995,3284,4959,4959,,delivered,483.65,0,Inf,0,522.34,2025-03-08 05:59:57,2025-03-08 05:59:57,2025-03-08 05:59:57
9159,3004,4554,4554,,shipped,3441.11,0,275.29,0,3716.4,2023-08-17 06:38:24,2023-08-17 06:38:24,2023-08-17 06:38:24
7993,1843,2780,2781,,pending,5992.65,0,,0,6472.06,2023-12-11 02:12:34,2023-12-11 02:12:34,2023-12-11 02:12:34
1629,2951,4465,4465,,shipped,2934.61,EMPTY,234.77,0,3169.38,2025-01-11 19:59:02,2025-01-11 19:59:02,2025-01-11 19:59:02
8594,3451,5208,5208,,delivered,1348.82,0,107.91,0,1456.73,2024-09-03 23:20:04,2024-09-03 23:20:04,
8111,2443,3697,3698,,DELIVERED,424.01,0,Inf,0,???,2024-07-01 07:22:47,2024-07-01 07:22:47,2024-07-01 07:22:47
3220,2538,3832,3833,,delivered,337.04,0,abc,0,364,2024-08-15 23:52:03,2024-08-15 23:52:03,2024-08-15 23:52:03
7440,263,408,409,,,224.34,$0.00,17.95,0,242.29,2025-04-06 02:51:08,2025-04-06 02:51:08,N/A
8032,424,651,651,,delivered,837.02,0,66.97,0,-9039.8,2024-10-23 04:11:55,2024-10-23 04:11:55,2024-10-23 04:11:55
9813,1894,2857,2857,,delivered,879.41,0,70.35,0,949.76,2025-04-03 10:47:20,2025-04-03 10:47:20,2025-04-03 10:47:20
8450,3063,4637,4637,,delivered,1695.56,0,,0,abc,2024-10-09 21:55:38,2024-10-09 21:55:38,2024-10-09 21:55:38
2395,1985,3006,3007,,delivered,2923.46,0,233.88,0,,2023-06-20 21:00:18,2023-06-20 21:00:18,1687294818
6033,2486,3764,3764,,shipped,2396.06,N/A,191.68,0,2587.74,2024-06-13 03:41:35,2024-06-13 03:41:35,2024-06-13 03:41:35
9324,4848,7297,7297,,delivered,923.64,0,73.89,0,997.53,2025-06-07 11:39:07,2025-06-07 11:39:07,2025-06-07 11:39:07
2258,3511,5305,5305,,delivered,1667.86,0,133.43,0,-180129,2025-06-28 06:03:53,2025-06-28 06:03:53,2025-06-28 06:03:53
5771,4444,6696,6696,39,delivered,107.21,32.16,6,--,-810.5,2025-03-12 03:31:28,2025-03-12 03:31:28,EMPTY
75,1335,2000,2000,,delivered,3087.26,0,,0,3334.24,2023-06-24 09:04:35,2023-06-24 09:04:35,2023-06-24 09:04:35
4571,2555,3860,3861,,delivered,,0,57.08,0,--,2023-07-13 13:10:30,2023-07-13 13:10:30,2023-07-13 13:10:30
3258,3035,4598,4599,,delivered,31.36,0,2.51,9.99,43.86,2025-06-18 13:32:46,,2025-06-18 13:32:46
8708,638,980,980,,delivered,2282.64,0,182.61,,-2465.25,2025-06-20 16:10:48,2025-06-20 16:10:48,2025-06-20 16:10:48
9879,1930,2921,2921,,delivered,-36407,0,29.13,0,393.2,2025-02-24 18:00:09,2025-02-24 18:00:09,2025-02-24 18:00:09
4777,2788,4220,4219,46,processing,1153.51,15,91.08,0,1229.59,2025-06-28 12:53:16,2025-06-28 12:53:16,2025-06-28 12:53:16
3996,87,140,141,,,751.65,0,60.13,0,811.78,,2025-02-13 12:23:38,2025-02-13 12:23:38
1875,2468,3739,3739,,delivered,3408.08,0,272.65,0,3680.73,2024-09-11 12:17:02,2024-09-11 12:17:02,2024-09-11 12:17:02
4114,556,857,858,,pending,943.45,0,75.48,0,1018.93,2023-12-04 01:06:48,2023-12-04 01:06:48,2023-12-04 01:06:48
2931,4688,7068,7068,,DELIVERED,692.81,0,55.42,0,748.23,2025-03-27 09:22:36,TBD,
7395,2156,3270,3270,,delivered,1363.4,0,109.07,0,1472.47,2025-05-16 19:11:25,null,2025-05-16 19:11:25
1712,1236,1851,1851,,  delivered  ,,0,200.68,0,2709.19,,2024-06-13 20:35:09,2024-06-13 20:35:09
8478,3237,4895,4896,,processing,954.67,0,76.37,0,1031.04,2025-06-13 00:56:11,2025-06-13 00:56:11,
9304,1063,1607,1608,21,shipped,,-72353,135.06,0,"1,823.29",2023-12-22 02:52:39,"Dec 22, 2023",2023-12-22 02:52:39
2548,1263,1889,1889,,shipped,,0,0,0,N/A,2024-08-26 19:19:09,2024-08-26 19:19:09,2024-08-26 19:19:09
2200,3538,5342,5343,,PROCESSING,0,0,,0,5703.9,2025-05-30 00:56:24,2025-05-30 00:56:24,2025-05-30 00:56:24
540,4570,6889,6890,,processing,-3437.6,0,-27.5,0,371.26,2024-09-07 16:20:00,2024-09-07 16:20:00,2024-09-07 16:20:00
7091,607,933,933,,delivered,2739.22,0,#N/A,0,2958.36,,2024-06-23 09:08:09,2024-06-23 09:08:09
5363,3513,5307,5308,,processing,abc,0,171.82,0,2319.62,2025-06-26 20:03:56,2025-06-26 20:03:56,2024-13-45
324,3182,4819,4819,,shipped,-938.33,0,75.07,0,UNKNOWN,2025-02-08 02:23:02,2025-02-08 02:23:02,2025-02-08 02:23:02
3441,510,784,785,,shipped,1191.18,0,-95.29,0,1286.47,2025-07-17 01:39:03,2025-07-17 01:39:03,
4867,3289,4964,4964,,delivered,2375.07,0,190.01,0,2565.08,2025-01-01 07:25:38,2025-01-01 07:25:38,2025-01-01 07:25:38
7615,849,1285,1286,,processing,251.92,0,20.15,0,272.07,2025-05-19 15:47:58,2025-05-19 15:47:58,2025-05-19 15:47:58
6173,1140,1710,1711,,DELIVERED,,0,-28164,0,-38021.9,2025-05-06 15:54:05,2025-05-06 15:54:05,2025-05-06 15:54:05
7163,1069,1615,1615,,Cancelled,4789.27,0,383.14,0,,2025-03-30 09:13:17,2025-03-30 09:13:17,2025-03-30 09:13:17
7143,3891,5879,5880,,delivered,726.11,0,58.09,0,#REF!,2023-04-06 10:54:42,2023-04-06 10:54:42,2023-04-06 10:54:42
7730,4310,6491,6492,,,1192.75,0,95.42,0,1288.17,2024-10-26 06:42:20,  2024-10-26 06:42:20  ,2024-10-26 06:42:20
3997,3451,5208,5208,,cancelled,2836.61,,226.93,0,3063.54,2025-06-22 09:31:29,2025-06-22 09:31:29,2025-06-22 09:31:29
5875,1117,1680,1680,,pending,728.24,0,58.26,0,786.5,2025-02-16 11:41:46,2025-02-16 11:41:46,2025-02-16 11:41:46
3692,4224,6363,6363,,cancelled,1209.72,0,96.78,,1306.5,2024-11-14 19:17:01,2024-11-14 19:17:01,2024-11-14 19:17:01
4619,4153,6267,6267,,,1559.9,0,-124.79,0,???,2024-06-13 20:11:25,2024-06-13 20:11:25,2024-06-13 20:11:25
2145,2899,4391,4391,,delivered,60.32,0,4.83,EMPTY,65.15,2025-02-06 09:01:21,2025-02-06 09:01:21,2025-02-06 09:01:21
7348,2628,3984,3984,,null,47.13,0,3.77,7.99,58.89,1749104563,2025-06-05 06:22:43,2025-06-05 06:22:43
4044,2875,4360,4359,,shipped,21.52,0,,not available,29.23,2025-04-29 05:58:39,2025-04-29 05:58:39,2025-04-29 05:58:39
2481,884,1341,1342,,shipped,,0,2.3,5.99,37.09,2025-03-17 16:57:50,2025-03-17 16:57:50,2025-03-17 16:57:50
3222,176,277,278,,delivered,386.12,0,30.89,,-4170.1,--,2025-03-05 23:30:37,
4138,799,1215,1216,,delivered,3606.9,0,288.55,0,,2025-01-20 00:52:11,2025-01-20 00:52:11,2025-01-20 00:52:11
1521,2258,3420,3420,,delivered,2116.78,EMPTY,169.34,0,2286.12,2025-05-27 12:39:46,2025-05-27 12:39:46,not a date
1004,3546,5355,5356,,delivered,2788.34,0,223.07,0,3011.41,2024-07-30 06:12:52,2024-07-30 06:12:52,2024-07-30 06:12:52
6978,4445,6697,6697,,processing,1279.48,0,102.36,0,1381.84,2025-05-08 19:27:17,2025-05-08 19:27:17,2025-05-08 19:27:17
6947,4050,6108,6108,,shipped,,0,317.08,0,4280.59,2025-06-25 22:21:13,2025-06-25 22:21:13,2025-06-25 22:21:13
2117,1829,2760,2760,,delivered,1099,0,87.92,N/A,1186.92,3025-03-11 05:57:38,2025-03-11 05:57:38,2025-03-11 05:57:38
6510,781,1186,1186,,PROCESSING,3170.01,0,253.6,0,-3423.61,2025-06-15 07:21:01,2025-06-15 07:21:01,2025-06-15 07:21:01
3561,414,638,639,39,delivered,2403.28,720.98,134.58,0,-181688,2025-02-25 01:17:01,2025-02-25 01:17:01,EMPTY
2449,1462,2202,2202,,RETURNED,-154422,0,123.54,1e-14,1667.76,2024-02-09 23:32:01,2024-02-09 23:32:01,2024-02-09 23:32:01
10,677,1041,1041,,delvered,1899.2,,151.94,0,-20511.399999999998,,,2024-11-02 08:30:56
560,3956,5974,5975,,delivered,393.76,0,31.5,0,425.26,not a date,2024-10-20 18:43:31,2024-10-20 18:43:31
1113,717,1102,1102,,--,0,#REF!,$352.70,,4761.39,2023-11-18 15:40:32,UNKNOWN,2023-11-18 15:40:32
9551,2544,3843,3843,,delivered,542.39,not available,43.39,0,585.78,2025-03-18 03:29:27,2025-03-18 03:29:27,2025-03-18 03:29:27
9129,267,415,416,39,delivered,796.84,,44.62,0,602.41,2025-02-22 12:44:53,2025-02-22 12:44:53,2025-02-22 12:44:53
6284,2588,3914,3914,23,DELIVERED,9785.46,2935.64,,0,7397.81,2023-11-12 11:00:23,2023-11-12 11:00:23,2023-11-12 11:00:23
242,4864,7318,7318,,processing,-87.96,0,7.04,,95,2023-02-08 15:10:28,2023-02-08 15:10:28,2023-02-08 15:10:28
8678,2704,4092,4093,,  delivered  ,3106.09,0,--,0,3354.58,2024-08-23 00:47:54,2024-08-23 00:47:54,2024-08-23 00:47:54
2706,2629,3985,3986,,delivered,639.11,0,51.13,0,690.23,2025-06-15 14:04:46,2025-06-15 14:04:46,2025-06-15 14:04:46
9135,2253,3413,3413,45,returned,798.61,25000,61.89,0,835.5,2025-03-12 15:11:30,,
1885,2918,4418,4418,39,delivered,309.2,92.76,17.32,0,233.76,2025-02-24 19:28:49,2025-02-24 19:28:49,  2025-02-24 19:28:49  
8561,2627,3983,3983,,,3152.64,0,252.21,0,3404.85,2024-12-01 16:24:05,2024-12-01 16:24:05,2024-12-01 16:24:05
985,3302,4985,4985,46,  delivered  ,-323922,-150,abc,0,3482.16,2025-07-07 18:20:45,2025-07-07 18:20:45,
2841,4407,6639,6640,21,shipped,408.57,122.57,-228.79999999999998,0,308.88,2024-01-03 01:43:42,2024-01-03 01:43:42,2024-01-03 01:43:42
3757,4765,7180,7181,,delivered,512.85,0,-410.3,,$553.88,2025-03-13 06:35:50,2025-03-13 06:35:50,2025-03-13 06:35:50
9903,1926,2912,2913,,delivered,5140.61,0,-4112.5,0,5551.86,2025-05-18 02:36:50,2025-05-18 02:36:50,2025-05-18 02:36:50
1221,4063,6127,6127,,processing,1376.14,0,110.09USD,0,-1486.23,2023-08-02 07:52:02,2023-08-02 07:52:02,2023-08-02 07:52:02
9503,3508,5302,5302,39,delivered,4448.42,1334.53,,0,3363,2025-05-15 00:31:46,2025-05-15 00:31:46,2025-05-15 00:31:46
2452,1877,2834,2835,,shipped,1084.19,,86.74,0,1170.93,2024-06-28 00:54:53,2024-06-28 00:54:53,
4410,4573,6894,6895,,delivered,-252242.99999999997,0,-20179,1e-14,2724.22,  2025-01-30 16:00:20  ,2025-01-30 16:00:20,2025-01-30 16:00:20
8780,3506,5298,5299,44,null,1574.99,-236.25,107.1,0,0,2025-05-01 02:04:40,2025-05-01 02:04:40,not a date
7043,1759,2653,2653,,pending,2770.21,true,,0,2991.83,2025-05-14 13:52:00,2025-05-14 13:52:00,2025-05-14 13:52:00
7144,1534,2309,2310,18,DELIVERED,1773.69,266.05,120.61,0,1628.25,2023-06-17 07:14:18,2023-06-17 07:14:18,06-17-2023
6188,1395,2086,2086,,  delivered  ,754.47,0,,,814.83,2025-03-25 00:12:03,2025-03-25 00:12:03,2025-03-25 00:12:03
5770,712,1092,1093,,,#N/A,0,21.81,0,,  2025-04-28 02:22:21  ,2025-04-28 02:22:21,"Apr 28, 2025"
7133,1995,3019,3021,,processing,-1075.76,0,86.06,NaN,1161.82,,2025-05-29 04:49:05,2025-05-29 04:49:05
8192,348,539,540,,returned,1680.64,TBD,TBD,0,1815.09,2024-05-24 20:56:02,2024-05-24 20:56:02,1716584162
9136,4893,7360,7360,30,,-1471.3999999999999,14.71,10.59,0,143.02,2024-09-06 19:36:46,2024-09-06 19:36:46,2024-09-06 19:36:46
9233,1550,2334,2334,,pending,82.53,0,6.6,0,89.13,2024-07-23 02:58:01,2024-07-23 02:58:01,2024-07-23 02:58:01
3779,1125,1689,1690,,DELIVERED,1018.95,0,81.52,0,,2025-07-12 01:29:06,2025-07-12 01:29:06,2025-07-12 01:29:06
428,1926,2912,2913,33,delivered,1286.77USD,128.68,,0,1250.74,2024-08-04 23:18:13,2024-08-04 23:18:13,2024-08-04 23:18:13
2225,1215,1816,1817,,delivered,697.8,0,55.82,0,753.62,2024-06-13 13:59:12,2024-06-13 13:59:12,2024-06-13 13:59:12
7669,4843,7290,7290,,returned,2794.74,0,223.58,0,3018.32,2023-11-01 20:00:36,2023-11-01 20:00:36,not a date
6156,3820,5761,5762,,delivered,146.18,0,11.69,0,157.87,2024-11-18 20:51:44,2024-11-18 20:51:44,2024-11-18 20:51:44
1725,438,675,675,21,delivered,453.55,136.07,25.4,0,342.88,2024-01-10 02:31:31,not a date,2024-01-10 02:31:31
6725,1597,2400,2400,,delivered,None,,507.23,0,6847.55,2025-04-05 06:21:30,2025-04-05 06:21:30,2025-04-05 06:21:30
5737,2682,4058,4058,,delivered,256.03,0,20.48,0,276.51,2025-05-18 11:55:44,2025-05-18 11:55:44,2025-05-18 11:55:44
9139,2664,4033,4033,,delivered,171.54,0,13.72,0,???,,2025-02-15 04:38:28,2025-02-15 04:38:28
8103,3326,5025,5025,,delivered,837.16,0,66.97,0,904.13,2025-03-05 16:40:46,2025-03-05 16:40:46,2025-03-05 16:40:46
320,4778,7197,7197,,processing,2548.78,0,203.9,0,2752.68,2025-05-24 10:20:41,2025-05-24 10:20:41,2025-05-24 10:20:41
8261,2776,4201,4201,,delivered,0,0,8.8,0,118.79,2025-06-03 19:25:00,2025-06-03 19:25:00,2025-06-03 19:25:00
7121,4584,6912,6913,,returned,2145.8,0,true,0,2317.46,2023-01-01 14:55:07,  2023-01-01 14:55:07  ,2023/01/01 14:55:07
3599,2373,3592,3592,,delivered,382.25,0,-30.58,0,412.83,2024-10-12 06:34:20,2024-10-12 06:34:20,2024-10-12 06:34:20
819,1717,2589,2590,,delivered,2156.78,0,-1725.3999999999999,0,abc,2025-03-17 17:30:13,2025-03-17 17:30:13,
9636,2061,3127,3129,,DELIVERED,5771.57,0,461.73,0,6233.3,2025-03-11 04:02:53,2025-03-11 04:02:53,2025-03-11 04:02:53
8977,3892,5881,5881,39,delivered,0,917.44,,0,$2311.96,2025-02-23 10:37:31,--,2025-02-23 10:37:31
8344,1300,1950,1950,,processing,982.34,,78.59,0,,2025-02-19 04:21:36,2025-02-19 04:21:36,???
8528,2177,3297,3297,,DELIVERED,"5,047.93",0,403.83,0,"5,451.76",2024-12-24 02:45:02,"Dec 24, 2024",
9853,2549,3849,3849,,delivered,-6118.83,0,489.51,0,6608.34,2025-06-07 17:15:30,2025-06-07 17:15:30,2025-06-07 17:15:30
1548,3665,5530,5530,40,  delivered  ,382.05,15,-293.6,0,-3964.1000000000004,2025-04-25 13:51:38,2025-04-25 13:51:38,2025-04-25 13:51:38
8543,571,884,885,,delivered,2342.9,0,187.43,,2530.33,2023-12-28 08:49:09,2023-12-28 08:49:09,2023-12-28 08:49:09
6082,275,426,426,,delivered,,0,52.77,$0.00,712.39,2025-02-13 23:32:40,2025-02-13 23:32:40,2025-02-13 23:32:40
5271,3276,4946,4946,,processing,3243.85,0,259.51,0,3503.36,2023-05-23 23:53:59,2023-05-23 23:53:59,2023-05-23 23:53:59
6279,935,1418,1418,,delivered,239.68,0,19.17,0,258.85,2025-05-07 22:23:26,2025-05-07 22:23:26,2025-05-07 22:23:26
1820,764,1164,1164,,pending,436.91,0,-34.95,0,471.86,2025-07-22 05:33:04,2025-07-22 05:33:04,2025-07-22 05:33:04
9799,2144,3254,3255,,delivered,37.12,$0.00,2.97,9.99,50.08,2025-06-09 02:37:05,2025-06-09 02:37:05,2025-06-09 02:37:05
2206,3168,4795,4796,,delivered,-1291.08,0,103.29,0,1394.37,2024-05-09 08:02:29,2024-05-09 08:02:29,2024-05-09 08:02:29
2157,2459,3726,3726,,shipped,true,0,243.01,0,,2025-04-24 16:54:48,2025-04-24 16:54:48,2025-04-24 16:54:48
7653,528,815,815,,cancelled,220.31,0,$17.62,0,-23793,2024-07-23 19:54:03,2024-07-23 19:54:03,2024-07-23 19:54:03
1158,2107,3197,3197,,shipped,not available,0,38.76,0,0,2024-09-09 12:17:04,2024-09-09 12:17:04,2024-09-09 12:17:04
4484,1969,2984,2984,,DELIVERED,106.06,0,8.48,0,114.54,2025-06-18 23:50:49,2025-06-18 23:50:49,2025-06-18 23:50:49
4481,550,849,849,,proccessing,3313.98,0,265.12,,3579.1,2025-06-22 14:57:59,2025-06-22 14:57:59,2025-06-22 14:57:59
899,1690,2550,2551,,shipped,4065.04,0,325.2,0,4390.24,2025-01-16 15:17:52,2025-01-16 15:17:52,2025-01-16 15:17:52
3359,3112,4711,4711,,delivered,1240.24,0,99.22,,1339.46,2024-04-26 05:52:19,2024-04-26 05:52:19,2024-04-26 05:52:19
3228,2449,3707,3707,,shipped,257.21,0,,0,277.79,2024-07-28 21:20:48,2024-07-28 21:20:48,2024-07-28 21:20:48
3953,1714,2586,2585,,shipped,,0,441.21,null,5956.32,2025-07-02 01:14:15,2025-07-02 01:14:15,2025-07-02 01:14:15
9231,4997,7508,7509,38,TBD,4520.62,,343.57,0,-4638.16,2025-01-22 00:07:52,2025-01-22 00:07:52,2025-01-22 00:07:52
2067,649,999,999,,returned,484.78,0,#REF!,0,,,2025-01-31 19:20:34,
7617,1097,1652,1652,30,cancelled,633.87,63.39,45.64,0,616.12,08-19-2024,EMPTY,2024-08-19 04:34:18
5450,622,955,956,,delivered,-36.31,0,2.9,TBD,$45.20,2025-01-15 22:07:34,2025-01-15 22:07:34,2025-01-15 22:07:34
5245,3521,5316,5317,,,314.64,0,25.17,0,339.81,2025-06-29 02:17:49,2025-06-29 02:17:49,2025-06-29 02:17:49
3814,520,800,801,,shipped,2626.79,0,210.14,1e-14,2836.93,2025-06-25 11:45:27,2025-06-25 11:45:27,2025-06-25 11:45:27
5938,1734,2616,2616,,returned,,0,326.41,0,4406.49,2024-08-25 10:19:26,2024-08-25 10:19:26,2024-08-25 10:19:26
5840,98,158,158,,,572.57,0,45.81,null,618.38,2025-01-29 11:15:42,2025-01-29 11:15:42,2025-01-29 11:15:42
3739,1008,1529,1529,1000059,delivered,#REF!,0,390.9,0,5277.19,2025-06-24 13:58:59,2025-06-24 13:58:59,2025-06-24 13:58:59
303,1571,2365,2365,38,delivered,1480.51,N/A,112.52,0,,2025-01-08 15:26:35,2025-01-08 15:26:35,2025-01-08 15:26:35
580,2161,3276,3276,,delivered,1103.08,0,,0,-1191.33,2025-02-13 00:36:45,2025-02-13 00:36:45,2025-02-13 00:36:45
8736,204,319,319,33,cancelled,310.94,31.1,-22.39,0,302.24,2024-08-12 11:46:48,2024-08-12 11:46:48,2024-08-12 11:46:48
7464,1325,1985,1986,,delivered,636.34,0,50.91,0,687.25,2025-01-29 20:26:57,2025-01-29 20:26:57,2025-01-29 20:26:57
8036,4187,6313,6313,,pending,1163.64,0,93.09,0,1256.73,2023-06-10 12:20:49,2023-06-10 12:20:49,2023-06-10 12:20:49
136,1350,2021,2021,,delivered,4459.34,N/A,356.75,0,4816.09,2025-06-29 05:43:53,2025-06-29 05:43:53,2025-06-29 05:43:53
7812,1951,2956,2956,,shipped,-25462.399999999998,0,203.7,0,2749.94,2024-12-08 04:40:19,2024-12-08 04:40:19,2024-12-08 04:40:19
6181,1655,2493,2493,45,procesing,3291.45,25,261.32,,N/A,2025-03-18 20:03:24,2025-03-18 20:03:24,2025-03-18 20:03:24
5266,448,688,688,,returned,1207.35,0,96.59,Inf,-13039.400000000001,2024-05-02 23:27:36,2024-05-02 23:27:36,2024-05-02 23:27:36
9178,1853,2798,2798,,delivered,157.09,0,12.57,0,169.66,2025-06-17 11:00:15,2025-06-17 11:00:15,2025-06-17 11:00:15
4414,3378,5101,5102,,delivered,995.44,0,#REF!,0,1075.08,2025-06-05 10:57:24,2025-06-05 10:57:24,2025-06-05 10:57:24
1496,1862,2812,2812,,delivered,1926.42,0,154.11,0,2080.53,2025-05-24 17:39:21,2025-05-24 17:39:21,2025-05-24 17:39:21
3931,4410,6643,6643,,,-1063.28,0,not available,0,1148.34,2025-02-09 22:41:50,,2025-02-09 22:41:50
2436,3694,5570,5571,29,UNKNOWN,309060,5,-243.2,0,328.38,2024-09-19 19:18:55,--,2024-09-19 19:18:55
8676,825,1254,1254,,delivered,1093.61,0,87.49,0,1181.1,2025-04-13 16:52:55,2025-04-13 16:52:55,2025-04-13 16:52:55
7170,528,815,815,,delivered,2568.09,$0.00,205.45,0,2773.54,2024-06-28 04:19:48,2024-06-28 04:19:48,2024-06-28 04:19:48
9481,2214,3350,3350,,delivered,None,0,32.8,0,442.86,2025-03-22 11:58:24,2025-03-22 11:58:24,
7564,4957,7453,7454,,shipped,832.22,0,,0,898.8,2025-03-26 18:07:22,2025-03-26 18:07:22,None
5229,4976,7480,7481,,delivered,1190.65,,95.25,0,1285.9,2024-11-25 03:40:55,2024-11-25 03:40:55,2024-11-25 03:40:55
6562,2755,4176,4176,,delivered,1521.39,0,--,1e-14,1643.1,2024-02-21 14:01:58,2024-02-21 14:01:58,2024-02-21 14:01:58
4436,1834,2765,2766,45,delivered,2928.22,-250,232.26,0,3135.48,2025-04-09 15:19:28,2025-04-09 15:19:28,2025-04-09 15:19:28
1878,2899,4391,4391,,delivered,720.28,0,57.62,0,,2025-03-05 01:40:41,2025-03-05 01:40:41,2025-03-05 01:40:41
6054,1871,2827,2828,,DELIVERED,31.38,,2.51,,41.88,2025-02-21 13:15:20,2025-02-21 13:15:20,
8220,1083,1632,1633,,delivered,1772.36,0,141.79,0,1914.15,2024-06-09 02:05:21,2024-06-09 02:05:21,2024-06-09 02:05:21
