id,category_id,name,description,sku,price,cost,stock_quantity,brand,weight,is_active,created_at,updated_at
273,11,JBL Party Speaker,JBL Party Speaker - High quality audio product,AUD-JBL-35259,833.3,347.62,321,JBL,6.93,true,05.06.2023,
495,20,OtterBox Silicone Case,OtterBox Silicone Case - High quality phone cases product,,40.48,27.13,269,OtterBox,0.14,true,2023-05-06 15:56:00,2023-05-06 15:56:00
89,4,SONY SPORT EARBUDS,Sony Sport Earbuds - High ...,"HEA-SON-89651
",301.63,233.01,261,Sony,0.12,true,2024-01-21 16:29:00,2024-01-21 16:29:00
271,11,Bose Soundbar 5.1,Bose Soundbar 5.1 - High quality audio product,,563.91,309.92,405,Bose,6.39,,2022-07-08 14:53:00,2022-07-08 14:53:00
365,15,Wyze Smart Plug 2-Pack,Wyze Smart Plug 2-Pack - High quality smart home product,"SMA-WYZ-60635
",306.73,187.13,179,Wyze,1.87,true,2023-02-13 00:35:00,2023-02-13 00:35:00
461,999998,OURA BAND 4.0,Oura Band 4.0 - High quality wearables product,WEA-OUR-99057,87.96,$56.72,,Oura,0.05,true,2024-07-12 21:51:00,2024-07-12 21:51:00
447,18,Adobe QuickBooks Online,Adobe QuickBooks Online - High quality software product,SOF-ADO-35283,350.83,0,450,Adobe,0.08,true,2024-11-25 20:42:00,2024-11-25 20:42:00
389,16,Autel Air 3,Autel Air 3 - High quality drones product,DRO-AUT-82013,776.72,369.94,174,Au...,N/A,true,2024-03-13 08:28:00,2024-03-13 08:28:00
410,17,#N/A,Cable Matters USB-C to Lightning 6ft - High quality cables & adapters product,  CAB-CAB-83392  	,,Inf,193,Cable Matters,--,true,2022-06-05 06:09:00,2022-06-05 06:09:00
320,13,Brother Tank Printer,Brother Tank Printer - High quality printers product,PRI-BRO-64108,382.25,UNKNOWN,-453,Brother,16.18,,2024-10-19 23:57:00,
250,10,Western Digital 512GB NVMe SSD,Western Digital 512GB NVMe SSD - High quality storage product,STO-WES-46356,,72.46,40,Western Digital,0.94,true,2023-03-26 03:46:00,3023-03-26 03:46:00
174,7,Razer Gaming Mouse,Razer Gaming Mouse - High quality gaming product,GAM-RAZ-79373,529.69,391.46,458,Razer,true,true,2023-07-16 15:55:00,2023-07-16 15:55:00
256,11,Marshall Subwoofer,,AUD-MAR-99851,92.75,55.14,196,Marshall,4.34,true,2024-09-19 04:04:00,2024-09-19 04:04:00
100,4,Sennheiser AirPods Pro,Sennheiser AirPods Pro - High quality headphones product,HEA-SEN-64525,422.03,170.98,-147,  Sennheiser  	,0.12,true,2024-02-18 00:09:00,2024-02-18 00:09:00
244,10,Samsung 4TB Desktop HDD,Samsung 4TB Desktop HDD - High quality storage product,STO-SAM-42220,44.58,26.51,-4180,Samsung,0.72,  true  ,2022-08-11 08:09:00,2022-08-11 08:09:00
158,7,,,,-339.83,--,338,Nintendo,1.19,true,UNKNOWN,2023-10-04 21:17:00
77,4,Sony Sport Earbuds,Sony Sport Earbuds - High ...,HEA-SON-77588,107.36,62.08,$171.00,Sony,$0.22,true,2024-07-25 05:54:00,2024-07-25 05:54:00
373,15,ecobee Smart Bulb 4-Pack,ecobee Smart Bulb 4-Pack - High quality smart home product,,157.09,,14,ecobee,1.75,true,2023-04-11 14:33:00,2023-04-11 14:33:00
269,11,Bose Subwoofer,Bose Subwoofer - High quality audio product,AUD-BOS-38375,627.03,468.83,65,Bose,,true,2023-10-13 19:09:00,2023-10-13 19:09:00
97,4,Bose Free Buds,BOSE FREE BUDS - HIGH QUALITY HEADPHONES PRODUCT,HEA-BOS-41793,50.29,36.97,210,Bose,310,true,2023-05-27 04:52:00,2023-05-27 04:52:00
251,11,Marshall Studio Monitor,Marshall Studio Monitor - High quality audio product,"AUD-MAR-51742
",630.51,413.19,267,Marshall,1.17,true,2024-05-01 21:46:00,2024-05-01 21:46:00
120,5,Fujifilm X-T5,"Fujifilm X-T5 - High quality cameras product
",CAM-FUJ-39792,,231.77,NaN,  Fujifilm  	,0.59,true,2022-03-04 13:55:00,2022-03-04 13:55:00
390,16,,Skydio Mini 4 Pro - High quality drones product,DRO-SKY-83242,79.16,38.52,-105,Sky...,1.94,true_typo,2022-10-06 16:31:00,2022-10-06 16:31:00
369,999995,Google Smart Thermostat,Google Smart Thermostat - High quality smart home product,SMA-GOO-96177,147.14,116.59,-2770,Google,1.82,true,2022-09-02 09:14:00,2022-09-02 09:14:00
197,8,Spiigeen MaagSaafee Chaargeer,Spigen MagSafe Charger - High quality accessories product,ACC-SPI-89698,19.47,12.5,124,Spigen,0.27,true,2022-12-15 11:23:00,2022-12-15 11:23:00
51,3,  Apple Tab S9  	,Apple Tab S9 - High quality tablets product,,229.99,157.89,54,Apple,0.43,true,2023-11-11 14:34:00,2023-11-11 14:34:00
189,8,Samsung Phone Stand,Samsung Phone Stand - High quality accessories product,ACC-SAM-27438,21.03,$9.44,40,,0.15,true,,2023-06-11 15:18:00
350,14,Intel ATX Motherboard,Intel ATX Motherboard - High quality computer components product,COM-INT-85352,78.56,0,29,Intel,0.49,true,2022-02-25 12:48:00,2022-02-25 12:48:00
489,20,UAG Wallet Folio,UAG Wallet Folio - High quality phone cases product,PHO-UAG-96560,74.04,53.52,-156,UAG,-0.16,true,,2022-08-27 01:39:00
127,6,Google For...,Google Forerunner 265 - High quality smartwatches product,SMA-GO...,781.15,621.81,371,Google,0.05,true,2024-01-13 00:48:00,not a date
198,8,Spigen MagSafe Charger,UNKNOWN,ACC-SPI-40864,47.13,20.93,-43,Spigen,0.39,true,2022-11-12 12:09:00,1668254940
361,15,ecobee Security Camera,ecobee Security Camera - High quality smart home product,SMA-ECO-79560,262.85,0,207,eecoobeeee,-5.4,true_typo,2023-01-23 20:24:00,2023-01-23 20:24:00
362,15,Ring Smart Plug 2-Pack,Ring Smart Plug 2-Pack - High quality smart home product,SMA-RIN-42121,331.17,184.27,378,Ring,1.68,true_typo,2023-11-07 14:01:00,3023-11-07 14:01:00
192,8,Belkin Wireless Charging Pad,Belkin Wireless Charging Pad - High quality accessories product,ACC-BEL-49227,30.16,15.58,268,Belkin,-24,true,2024-11-18 23:27:00,2024-11-18 23:27:00
429,18,Norton QuickBooks Online,,SOF-NOR-23769,$129.68,70.57,242,Norton,0.06,true_typo,2024-09-25 15:35:00,2024-09-25 15:35:00
441,18,,Norton Windows 11 Pro Key - High quality software product,SOF-NOR-89072,370780,187.59,#REF!,Norton,0.09,TRUE,2022-10-09 00:37:00,2022-10-09 00:37:00
382,16,DJI Beginner Drone,DJI Beginner Drone - High quality drones product,DRO-DJI-84340,,286.5,109,not available,1.29,true,2024-08-08 07:35:00,2024-08-08 07:35:00
358,15,ecobee Smart Plug 2-Pack,ecobee Smart Plug 2-Pack - High quality smart home product,SMA-ECO-85857,163.2,76.13,221,ecobee,$1.20,true,2023-09-10 11:25:00,2023-09-10 11:25:00
233,10,Samsung 128GB USB Drive,Samsung 128GB USB Drive - High quality storage product,STO-SAM-43550,101.87,-46.93,89,Samsung,0.08,true,2022-02-10 03:05:00,2022-02-10 03:05:00
433,18,Adobe Offic...,Adobe Office 365 1-Year - High quality software product,SOF-ADO-62688,???,50.28,,Adobe,0.1,,2022-11-23 18:38:00,2022-11-23 18:38:00
129,6,GARMIN WATCH ULTRA 2,Garmin Watch Ultra 2 - High quality smartwatches product,SMA-GAR-88069,359.52,195.21,131,,0.03,true,2023-12-01 13:45:00,2023-12-01 13:45:00
237,10,Saamsuung 1TB Poortaablee SSD,Samsung 1TB Portable SSD - High quality storage product,STO-SAM-89411,393.76,235.41,,Samsung,,null,  2023-09-23 12:53:00  ,2023-09-23 12:53:00
318,13,Brootheer Cooloor LaaseerJeet,Brother Color LaserJet - High quality printers product,  PRI-BRO-11091  	,,189.3,43,Brother,N/A,true,,
194,8,AApplee Wiireeleess Chaargiing Paad,Apple Wireless Charging Pad - High quality accessories product,ACC-APP-66520,23.46,,402,TBD,0.47,true,2023-05-28 09:47:00,2023-05-28 09:47:00
65,3,"Amazon Pro 12.9""","Amazon Pro 12.9"" - High quality tablets product",TAB-AMA-26891,307.72,181.68,61,AMAZON,0.47,true,2024-03-03 20:53:00,2024-03-03 20:53:00
29,999991,"HP Business 15""","HP Business 15"" - High quality laptops product",LAP-HP-83706,1135.87,570.99,371,HP,5.26,true,2022-05-08 04:11:00,
166,7,Nintendo Mechanical Keyboard,Nintendo Mechanical Keyboard ...,GAM-NIN-88497,110.08,56.35,494,Nintendo,-312,false,2023-05-27 13:25:00,2023-05-27 13:25:00
379,16,Holy Stone FPV Drone,Holy Stone FPV Drone - High quality drones product,DRO-HOL-76710,1192.75,636.51,#REF!,Holy Stone,-14.7,true,,
157,7,Sony Mechanical Keyboard,Sony Mechanical Keyboard - High quality gaming product,GAM-SON-63241,408.57,,200,Sony,0.37,true,UNKNOWN,2022-05-20 08:59:00
263,11,Marshall Party Speaker,Marshall Party Speaker - High quality audio product,AUD-MAR-87315,379.32,189.65,369,Marshall,7.28,TRUE,2024-02-08 03:19:00,2024-02-08 03:19:00
47,2,MSI Chrom...,"MSI Chromebook 14"" - High quality laptops product",LAP-MSI-17875,,304.24,174,MSI,3060,  true  ,2023-08-20 23:53:00,00/00/0000
477,20,OtterBox Silicone Case,OtterBox Silicone Case - High quality phone cases product,N/A,null,,228,OtterBox,0.07,false,2023-06-21 19:39:00,2023-06-21 19:39:00
196,8,  Belkin Screen Protector 3-Pack  	,  Belkin Screen Protector 3-Pack - High quality accessories product  	,ACC-BEL-12132,,21.19,123,Belkin,0.33,true,2023-09-08 19:32:00,
481,20,Apple Tough Armor,Apple Tough Armor - High quality phone cases product,PHO-APP-81538,75.04,38.82,194,Apple,0.17,true,2024-05-19 09:40:00,2024-05-19 09:40:00
177,8,Belkin MagSafe Charger,Belkin MagSafe Charger - High quality accessories product,ACC-BEL-86371,48.13,25.74,,,0.12,true_typo,2023-09-12 17:09:00,2023-09-12 17:09:00
82,4,Beats Studio Pro,Beats Studio Pro - High quality headphones product,HEA-BEA-24844,199.7,106.94,$447.00,Beats,0.36,true_typo,,2024-04-20 15:56:00
78,4,Beats AirPods Pro,BEATS AIRPODS PRO - HIGH QUALITY HEADPHONES PRODUCT,,402.19,0,415,Beats,0.31,true,2022-10-24 05:28:00,2022-10-24 05:28:00
434,18,McAfee VPN 2-Year Plan,McAfee VPN 2-Year Plan - High quality software product,SOF-MCA-79044,187.57,149.55,324,McAfee,--,false,2022-05-14 10:24:00,2022-05-14 10:24:00
203,9,Linksys WiFi Adapter,Linksys WiFi Adapter - High quality networking product,NET-LIN-57676,460.42,232.28,143,#N/A,1.03,true_typo,2024-12-23 15:18:00,2024-12-23 15:18:00
425,17,Apple USB-C Hub 7-in-1,,,36.31,26.62,156,Apple,0.24,true,2022-10-10 19:24:00,2022-10-10 19:24:00
87,4,,Sennheiser Studio Pro - High quality headphones product,HEA-SEN-95275,242.27,,428,Sennh...,0.31,true,2022-05-07 01:26:00,3022-05-07 01:26:00
460,19,Fiitbiit Fiitneess Traackeer,Fitbit Fitness Tracker - High quality wearables product,WEA-FIT-89399,53.6,N/A,,Fitbit,,true,2023-09-21 18:05:00,2023-09-21 18:05:00
204,9,,Linksys WiFi Adapter - High quality networking product,NET-LIN-98764,66.51,48.27,250,"Linksys
",1.41,true,2023-01-06 03:17:00,2023-01-06 03:17:00
11,1,Motorola FE 5G,Motorola FE 5G - High quality smartphones product,SMA-MOT-50993,-42025,-255.34,477,Moto...,0.42,true,,2023-10-27 11:52:00,extra_col_value
400,16,not available,Parrot Anafi - High quality drones product,DRO-PAR-52970,1283.16,537.45,450,,1.32,true,2023-03-23 06:29:00
39,2,"  HP Ultra 16""  	","HP ULTRA 16"" - HIGH QUALITY LAPTOPS PRODUCT",LAP-HP-57368,1448.85,831.01,41,HP,2.75,TRUE,2022-06-25 22:06:00,2022-06-25 22:06:00
462,19,Whoop Health Monitor Band,Whoop Health Monitor Band - High quality wearables product,WEA-WHO-79424,-251.92,127.08,401,,0.09,true,2023-06-21 03:13:00,2023-06-21 03:13:00
412,17,Cable Matters Thunderbolt 4 Cable,Cable Matters Thunderbolt 4 Cable - High quality cables & adapters product,CAB-CAB-43354,24.77,13.75,,Cable Matters,0.19,true,2023-08-14 18:25:00,2023-08-14 18:25:00
467,19,Fitbit Ring Gen 3,  Fitbit Ring Gen 3 - High quality wearables product  	,,-325.35,153.15,143,Fitbit,0.04,,2023-05-15 14:21:00,2023-05-15 14:21:00
288,12,"Sony 55"" 4K OLED","Sony 55"" 4K OLED - High quality tvs & monitors product",TVS-SON-92974,2128.08,1365.94,37,Sony,17.2,,2023-01-01 10:36:00,2023-01-01 10:36:00
471,999996,Amazfit Charge 6,,WEA-AM...,383.55,255.34,20,Amazfit,0.07,true,2024-09-05 13:35:00,
55,3,"Amazon Air 10.9""","Amazon Air 10.9"" - High quality tablets product",TAB-AM...,-11692,649.68,,Amazon,,true,2022-02-02 23:04:00,UNKNOWN
88,4,Soony Stuudiioo Proo,,HEA-SON-27062,68610,40.82,485,Sony,0.32,true,2024-07-23 07:49:00 ,2024-07-23 07:49:00
95,4,Beeaats Stuudiioo Proo,"Beats Studio Pro - High quality headphones product
",HEA-BEA-56580,534.2,396.71,NaN,Beats,0.21,#N/A,2022-05-25 17:47:00,2022-05-25 17:47:00
473,19,Amazfit Band 4.0,Amazfit Band 4.0 - High quality wearables product,WEA-AMA-54162,NaN,293.83,-178,Amazfit,0.06,TRUE,,2023-10-24 02:39:00
367,15,Philips Hue Smart Plug 2-Pack,Philips Hue Smart Plug 2-Pack -...,,135.42,80.76,-1330,Philips Hue,1.08,true,2023-01-07 07:24:00,2023-01-07 07:24:00
301,13,HP Label Printer,HP Label Printer - High quality printers product,PRI-HP-69078,124.87,NaN,-18600,,16.36,true,2023-02-27 05:04:00,2023-02-27 05:04:00
466,19,Fitbit GTR 4,Fitbit GTR 4 - High quality wearables product,WEA-FIT-14888,103.7,47.97,51,Fiitbiit,-0.04,true,  2023-01-24 05:36:00  ,01-24-2023
