id,customer_id,order_id,type,subject,message,status,priority,created_at,resolved_at
347,3306,7962,suggestion,Add more payment options,A loyalty rewards program would make me shop here even more often. Points for purchases that can be redeemed for discounts would be amazing.,,medium,2025-06-14 15:19:43,2025-06-18 15:19:43
393,1941,7478,suggestion,"Expand product selection
",,open,  low  ,2023-11-15 10:49:40,
1276,3968,9950,complaint,Wrong item received,I RECEIVED A COMPLETELY WRONG ITEM. I ORDERED A LAPTOP CHARGER AND GOT A PHONE CASE INSTEAD. VERY FRUSTRATED WITH THIS MISTAKE.,resolved,high,,2025-06-09 04:31:35
1210,3204,7200,complaint,Refund not processed,  I received a completely wrong item. I ordered a laptop charger and got a phone case instead. Very frustrated with this mistake.  	,resolved,,2025-05-25 11:20:03,2025-05-26 11:20:03
1068,2568,9095,complaint,Missing items from my order,The product I received looks nothing like the photos on the website. The quality is much lower than advertised. I want a full refund.,closed,low,2025-06-12 01:02:05,2025-06-19 01:02:05
1272,1044,2142,#N/A,,A LOYALTY REWARDS PROGRAM WOULD MAKE ME SHOP HERE EVEN MORE OFTEN. POINTS FOR PURCHASES THAT CAN BE REDEEMED FOR DISCOUNTS WOULD BE AMAZING.,resolved,low,2025-03-16 08:32:52,2025-03-18 08:32:52
727,2318,2916,SUGGESTION,Better packaging needed,IT WOULD BE GREAT IF YOU COULD ADD MORE PAYMENT OPTIONS LIKE CRYPTOCURRENCY OR BUY-NOW-PAY-LATER SERVICES. I THINK A LOT OF CUSTOMERS WOULD APPRECIATE IT.,closed,low,,2025-05-07 05:21:12
342,1572,,question,Is this item in stock?,,open,HIGH,2025-01-29 11:13:36,
144,3454,729,praise_typo,Fast shipping...,The new website redesign is fantastic. Everything is easy to find and the checkout process is seamless. Great job to the whole team!,closed,low,2025-06-10 06:32:34,2025-06-12 06:32:34
581,4587,,--,Order arrived damaged,My order arrived today but the box was completely crushed and the product inside is damaged. This is unacceptable and I need a replacement sent immediately.,resolved,low,2025-06-03 20:56:07,2025-06-10 20:56:07,extra_col_value
53,1208,3131,question,N/A,I need to change the shipping address on my recent order. Is that still possible at this point?,closed,#N/A,06/05/2023,2023-05-09 13:25:57
293,4475,,praise,,I just wanted to say your customer support team is incredible! They resolved my issue within minutes and were so friendly. Keep it up!,closed,low,2022-08-21 17:15:15,2022-08-25 17:15:15
1269,4942,6115,complaint,Wrong item received,My order arrived today but the box was completely crushed and the product inside is damaged. This is unacceptable and I need a replacement sent immediately.,in_progress,high,2023-09-17 08:10:04,
1139,646,3193,complaint,Order arrived damaged,I received a completely wrong item. I ordered a laptop charger and got a phone case instead. Very frustrated with this mistake.,CLOSED,low,2025-06-01 02:31:49,2025-06-02 02:31:49
250,3476,4480,question,Whaat paaymeent meethoods doo yoouu aacceept?,I'm looking at a product on your site and wondering if it's compatible with my current setup. Can someone help me verify?,resolved,low,2025-06-29 06:43:13,2025-07-06 06:43:13
386,2223,3399,,Best online tech store,The new website redesign is fantastic. Everything is easy to find and the checkout process is seamless. Great job to the whole team!,closed,low,2025-06-04 15:32:01,2025-06-11 15:32:01
346,1077,9893,question,Do you offer p...,I'm looking at a product on your site and wondering if it's ...,closed,medium,2023-09-29 21:21:14,2023-09-30 21:21:14
461,4626,,suggestion,Improve mobile app experience,It would be great if you could add more payment options like cryptocurrency o...,,medium,2025-02-27 22:48:41,2025-02-28 22:48:41
1437,977,,praise,,Your product selection is the best I've found online. The prices are competitive and the quality is consistently excellent.,closed,high,2025-03-07 09:26:41,2025-03-14 09:26:41
442,4373,,COMPLAINT,Poooor cuustoomeer seerviicee eexpeeriieencee,My order was supposed to arrive last week and the tracking hasn't updated in 5 days. This is extremely disappointing service.,resolved,HIGH,2025-06-29 21:40:47,2025-07-02 21:40:47
282,697,7020,question,How do I return an item?,"I need to change the shipping address on my recent order. Is that still possible at this point?
",RESOLVED,medium,2024-10-24 21:05:35,2024-10-25 21:05:35
1415,4665,4321,,Fast shipping - impressed!,The new website redesign is fantastic. Everything is easy to find and the checkout process is seamless. Great job to the whole team!,resolved,LOW,2022-10-08 15:13:20,2022-10-15 15:13:20
894,1927,6039,question,Do you offer price matching?,I need to change the shipping address on my recent order. Is that still possible at this point?,resolved,high,2025-06-14 00:34:51,2025-06-16 00:34:51
839,3875,4344,#N/A,Better packaging needed,A loyalty rewards program would make me shop here even more often. Points for purchases that can be redeemed for discounts would be amazing.,closed,,2025-05-09 22:18:45,2024-13-45
127,3701,9851,question,Is this item in stock?,,closed,medium,2025-06-20 11:12:21,2025-06-21 11:12:21
515,331,,suggestion,,A LOYALTY REWARDS PROGRAM WOULD MAKE ME SHOP HERE EVEN MORE OFTEN. POINTS FOR PURCHASES THAT CAN BE REDEEMED FOR DISCOUNTS WOULD BE AMAZING.,,low,,2025-06-26 14:22:29
286,3090,,praise_typo,BEST ONLINE TECH STORE,The new website redesign is fantastic. Everything is easy to find and the checkout process is seamless. Great job to the whole team!,closed,  low  ,2025-02-06 05:45:46,2025-02-10 05:45:46
162,4868,3051,complaint,Defective product received,My order arrived today but the box was completely crushed and the product inside is damaged. This is unacceptable and I need a replacement sent immediately.,resolved,high,2025-05-18 19:15:13,2025-05-20 19:15:13
343,1196,6154,question,Where is my tracking number?,  I need to change the shipping address on my recent order. Is that still possible at this point?  	,  open  ,medium,2025-06-30 04:23:51,
1217,4439,,praise,Great website experience,,in_progress,low,2024-08-26 20:22:21,
383,324,6325,suggestion,Offer gift wrapping service,It would be great if you could add more payment options like cryptocurrency or buy-now-pay-later services. I think a lot of customers would appreciate it.,CLOSED,low,2025-06-30 21:28:23,2025-07-02 21:28:23
953,2314,,question,Where is my tracking number?,I placed an order 3 days ago and haven't received any shippi...,open,medium,2025-06-14 13:29:31,
503,2271,,question,Do you offer price matching?,I need to change the shipping address on my recent order. Is that still possible at this point?,closed,low,2025-06-01 13:32:01,2025-06-05 13:32:01
904,126,,question,Is this item in stock?,I need to change the shipping address on my recent order. Is that still possible at this point?,resolved,low,2025-04-12 10:05:06,2025-04-15 10:05:06
499,4139,1388,suggestion,,I think you should consider using more sustainable packaging materials. The amount of plastic in my last shipment was excessive.,in_progress,medium,2024-11-27 22:59:16,
191,1778,3646,suggestion_typo,Better search functionality,Your mobile app could really use some improvements. The search function is slow and filtering products is not intuitive.,in_progress,medium,,
1432,4733,616,complaint,  Package was lost  	,I received a completely wrong item. I ordered a laptop charger and got a phone case instead. Very frustrated with this mistake.,CLOSED,medium,2025-04-06 00:40:30,2025-04-11 00:40:30
1496,240,3297,question,,I placed an order 3 days ago and haven't received any shipping updates. Could you please let me know the current status?,,high,2025-03-01 23:01:00,
492,558,,complaint,Paackaagee waas loost,My order arrived today but the box was completely crushed and the product inside is damaged. This is unacceptable and I need a replacement sent immediately.,,high,2025-06-23 11:14:10,2025-06-28 11:14:10
354,3104,56,question,How do I return an item?,I PLACED AN ORDER 3 DAYS AGO AND HAVEN'T RECEIVED ANY SHIPPING UPDATES. COULD YOU PLEASE LET ME KNOW THE CURRENT STATUS?,#N/A,low,2025-06-12 08:27:39,
1235,4207,2805,complaint,Refund not processed,My order was supposed to arrive last week and the tracking hasn't updated in 5 days. This is extremely disappointing service.,resolved,high,2024-09-23 10:53:12,2024-09-25 10:53:12
330,4045,,question,Can I cancel my order?,I placed an order 3 days ago and haven't received any shippi...,resolved,medium,2025-06-03 02:10:02,2025-06-06 02:10:02
1292,4565,3405,praise_typo,,The new website redesign is fantastic. Everything is easy to find and the checkout process is seamless. Great job to the whole team!,resolved,MEDIUM,2025-06-17 01:22:48,2025-06-19 01:22:48
1059,4682,7265,COMPLAINT,Defective product received,My order arrived today but the box was completely crushed and the product inside is damaged. This is unacceptable and I need a replacement sent immediately.,#N/A,medium,2025-06-02 20:34:06,
945,2865,144,question,What payment methods do you accept?,Just checking on the warranty coverage for electronics. Does it cover accidental damage or just manufacturing defects?,open,medium,2025-06-06 01:27:44,
58,286,2332,question,Wheen wiill my oordeer shiip?,I'm looking at a product on your site and wondering if it's compatible with my current setup. Can someone help me verify?,resolved,low,2024-05-29 16:52:52,2024-06-03 16:52:52
1368,1460,8295,complaint,Product not ...,The product I received looks nothing like the photos on the website. The quality is much lower than advertised. I want a full refund.,closed,medium,2025-06-12 01:12:47,
725,4890,,suggestion,Improve return process,Your mobile app could really use some improvements. The search function is slow and filtering products is not intuitive.,closed,low,2024-05-07 06:09:53,2024-05-10 06:09:53
825,22,4170,praise,Fantastic product selection,The new website redesign is fantastic. Everything is easy to find and the checkout process is seamless. Great job to the whole team!,not available,low,2025-06-10 11:03:48,2025-06-11 11:03:48
748,2262,7259,complaint,Refund not processed,My order arrived today but the box was completely crushed and the product inside is damaged. This is unacceptable and I need a replacement sent immediately.,resolved,high,2025-06-17 08:23:37,2025-06-21 08:23:37
419,4616,,complaint,Package was lost,My order was supposed to arrive last week and the tracking has...,OPEN,medium,2024-05-06 09:52:07,
1377,3086,8872,praise,,,resolved,#N/A,UNKNOWN,2025-06-11 16:35:36
1185,1702,4144,,When will my order ship?,I placed an order 3 days ago and haven't received any shipping updates. Could you please let me know the current status?,RESOLVED,low,2025-06-08 10:46:57,2025-06-15 10:46:57
175,741,,suggestion,,It would be great if you could add more payment options like cryptocurrency or buy-now-pay-later services. I think a lot of customers would appreciate it.,open,low,2025-06-15 11:27:23,
277,4054,4885,suggestion,  Improve return process  	,It would be great if you could add more payment options like cryptocurrency or buy-now-pay-later services. I think a lot of customers would appreciate it.,closed,low,2025-06-21 09:55:18,TBD
847,430,9750,question,,I need to change the shipping address on my recent order. Is that still possible at this point?,resolved,,2024-02-17 21:23:42,2024-02-21 21:23:42
1381,2057,3208,complaint,,The product I received looks nothing like the photos on the websit...,closed,Medium,,2024-02-12 07:11:12
351,2001,586,complaint,Defective pro...,I received a completely wrong item. I ordered a laptop charger and got a phone case instead. Very frustrated with this mistake.,closed,medium,2025-06-16 07:32:09,2025-06-17 07:32:09
1448,1478,2392,question,When will my order ship?,,resolved,low,2025-05-20 06:57:02,
841,3986,,praise,Smooth checkout process,Your product selection is the best I've found online. The prices are competitive and the quality is consistently excellent.,resolved,MEDIUM,2025-06-20 03:00:58,2025-06-25 03:00:58
81,3768,794,question,Where is my tracking number?,I PLACED AN ORDER 3 DAYS AGO AND HAVEN'T RECEIVED ANY SHIPPING UPDATES. COULD YOU PLEASE LET ME KNOW THE CURRENT STATUS?,,high,2022-07-26 08:47:51,2022-07-31 08:47:51
300,999991,,SUGGESTION,Offer gift wrapping service,I think you should consider using more sustainable packaging mat...,resolved,low,2025-06-28 13:51:32,2025-07-02 13:51:32
331,4530,,  question  ,IIs thiis iiteem iin stoock?,I placed an order 3 days ago and haven't received any shipping updates. Could you please let me know the current status?,closed,  medium  ,2025-05-29 11:43:42,2025-06-01 11:43:42
47,2276,7285,suggestion,,Your mobile app could really use some improvements. The sear...,resolved,LOW,2025-06-12 20:27:33,2025-06-17 20:27:33
1314,2584,6492,suggestion,Improve mobile app experience,Your mobile app could really use some improvements. The search function is slow and filtering products is not intuitive.,resolved,  low,,2023-08-27 16:39:25
1425,1801,1294,null,Late delivery,I received a completely wrong item. I ordered a laptop charger and got a phone case instead. Very frustrated with this mistake.,closed,low,2025-06-30 16:28:31,2025-07-03 16:28:31
873,2357,,question,Can I change my shipping address?,,resolved_typo,low,2023-11-22 07:12:41,2023/11/27 07:12:41
1248,4667,,praise,Love the product quality,Your product selection is the best I've found online. The prices are competitive and the quality is consistently excellent.,open,low,2025-06-19 08:29:14,
112,942,,,Is this product compatible?,Just checking on the warranty coverage for electronics. Does it cover accidental damage or just manufacturing defects?,in_progress,low,2025-06-29 13:55:57,
912,4613,860,question,Can I cancel my order?,I'M LOOKING AT A PRODUCT ON YOUR SITE AND WONDERING IF IT'S COMPATIBLE WITH MY CURRENT SETUP. CAN SOMEONE HELP ME VERIFY?,closed,medium,2025-02-14 11:51:16,2025/02/20 11:51:16
1228,3445,2908,suggestion,IMPROVE RETURN PROCESS,AA looyaalty reewaards proograam woouuld maakee mee shoop heeree eeveen mooree oofteen. Pooiints foor puurchaasees thaat caan bee reedeeeemeed foor diiscoouunts woouuld bee aamaaziing.,,LOW,2023-07-15 19:10:55,
263,3903,9221,complaint,Product not as described,"My order arrived today but the box was completely crushed and the product inside is damaged. This is unacceptable and I need a replacement sent immediately.
",CLOSED,high,2024-10-22 23:38:07,2024-10-24 23:38:07
1469,3653,5037,question,Do you offer price matching?,Just checking on the warranty coverage for electronics. Does it cover accidental damage or just manufacturing defects?,closed,low,2023-12-30 01:40:08,2024-01-04 01:40:08
399,4278,1306,complaint,Refund not processed,I received a completely wrong item. I ordered a laptop charger and got a phone case instead. Very frustrated with this mistake.,resolved,low,2025-06-30 15:05:55,2025-07-02 15:05:55
1299,265,6685,praise,Great website experience,Your product selection is the best I've found online. The prices are competitive and the quality is consistently excellent.,,MEDIUM,2025-06-05 14:42:31,2025-06-08 14:42:31
429,4512,,question,Can I cancel my order?,I need to change the shipping address on my recent order. Is that still possible at this point?,resolved,LOW,2025-06-17 19:37:22,2025-06-19 19:37:22
1133,2504,2303,SUGGESTION,Better search functionality,I think you should consider using more sustainable packaging materials. The amount of plastic in my last shipment was excessive.,closed,LOW,,2024-10-28 03:27:36
488,1118,,praise_typo,  Fast shipping - impressed!  	,I just wanted to say your customer support team is incredible! They resolved my issue within minutes and were so friendly. Keep it up!,in_progress,,2025-05-02 03:37:49,
1393,3611,7853,question,Where is my tracking number?,I placed an order 3 days ago and haven't received any shipping updates. Could you please let me know the current status?,in_progress,low,2025-06-23 14:07:18,
986,3108,6910,question,Do you offer price matching?,Just checking on the warranty coverage for electronics. Does it cover accidental damage or just manufacturing defects?,closed,medium,2025-06-25 02:02:02,2025-06-27 02:02:02
506,328,,praise,Amazing customer support!,"Wow, my order arrived in just 2 days! The product was packaged beautifully and works perfectly. This is why I keep coming back.",OPEN,medium,2023-07-28 09:09:11,
649,1199,7801,question,Do you offer price matching?,I'm looking at a product on your site and wondering if it's compatible with my current setup. Can someone help me verify?,open_typo,low ,not a date,
161,481,6787,suggestion_typo,Loyalty rewards program,A LOYALTY REWARDS PROGRAM WOULD MAKE ME SHOP HERE EVEN MORE OFTEN. POINTS FOR PURCHASES THAT CAN BE REDEEMED FOR DISCOUNTS WOULD BE AMAZING.,resolved,low,2024-08-28 17:02:20,2024-09-02 17:02:20
552,1000004,,N/A,Poor customer service experience,,in_progress,High,2025-05-27 10:27:53,
907,311,9564,suggestion,  Better packaging needed  	,I think you should consider using more sustainable packaging materials. The amount of plastic in my last shipment was excessive.,resolved,,2022-06-19 22:52:41,2022-06-22 22:52:41
941,3372,1678,complaint,Product not as described,The product I received looks nothing like the photos on the website. The quality is much lower than advertised. I want a full refund.,resolved,LOW,2025-06-20 00:41:16,2025-06-27 00:41:16
1365,2695,,question,How do I return an item?,I placed an order 3 days ago and haven't received any shippi...,open,medium,2025-04-05 10:29:17,
338,1569,640,suggestion,Offer gift wrapping service,II thiink yoouu shoouuld coonsiideer uusiing mooree suustaaiinaablee paackaagiing maateeriiaals. Thee aamoouunt oof plaastiic iin my laast shiipmeent waas eexceessiivee.,resolved,LOW,2025-02-06 14:09:05,
1052,4358,5727,complaint ,"Missing items from my order
",I received a completely wrong item. I ordered a laptop charger and got a phone case instead. Very frustrated with this mistake.,resolved,high,2025-01-17 15:26:39,2025-01-22 15:26:39
949,4978,,COMPLAINT,Charged incorrectly,,resolved,high,,2024-05-12 14:19:04
1007,3120,,QUESTION,Can I cancel my order?,I need to change the shipping address on my recent order. Is that still possible at this point?,open,,2025-06-07 08:20:09,
857,281,,complaint,Poor customer service experience,My order arrived today but the box was completely crushed and the product inside is damaged. This is unacceptable and I need a replacement sent immediately.,resolved,medium,--,
1198,4635,2002,suggestion,Offer gift wr...,A loyalty rewards program would make me shop here even more often. Poi...,closed,None,2025-06-02 21:42:49,2025-06-07 21:42:49
879,3354,27,suggestion,Improve return process,Your mobile app could really use some improvements. The search function is slow and filtering products is not intuitive.,resolved,low,2025-06-23 15:29:11,2025-06-25 15:29:11
1199,2000,8623,question,How do I return an item?,Just checking on the warranty coverage for electronics. Does it cover accidental damage or just manufacturing defects?,resolved,medium,2024-01-16 22:09:31,2024-01-21 22:09:31
1414,2437,386,complaint,Wrong item received,I received a completely wrong item. I ordered a laptop charger and got a phone case instead. Very frustrated with this mistake.,closed,high,2025-06-30 01:02:56,2025-07-03 01:02:56
1208,2602,,question,Where is my tracking number?,I placed an order 3 days ago and haven't received any shipping updates. Could you please let me know the current status?,resolved,medium,2023-08-04 02:40:20,2023-08-10 02:40:20
470,1029,2045,complaint,Deefeectiivee prooduuct reeceeiiveed,The product I received looks nothing like the photos on the website. The quality is much lower than advertised. I want a full refund.,resolved,low,2025-06-01 00:04:36,2025-06-05 00:04:36
386,1000011,3399,,Best online tech store,The new website redesign is fantastic. Everything is easy to find and the checkout process is seamless. Great job to the whole team!,closed,low,2025-06-04 15:32:01,2025-06-11 15:32:01
304,2298,,question,Where is my tracking number?,I'm looking at a product on your site and wondering if it's compatible with my current setup. Can someone help me verify?,closed,low,2025-06-05 16:02:36,2025-06-09 16:02:36
1151,816,5217,question,How do I return an item?,II plaaceed aan oordeer 3 daays aagoo aand haaveen't reeceeiiveed aany shiippiing uupdaatees. Coouuld yoouu pleeaasee leet mee knoow thee cuurreent staatuus?,closed,LOW,???,
989,4811,,question,Can I change my shipping address?,I NEED TO CHANGE THE SHIPPING ADDRESS ON MY RECENT ORDER. IS THAT STILL POSSIBLE AT THIS POINT?,  resolved  ,medium,2025-01-05 11:56:05,2025-01-12 11:56:05
85,1835,,None,Smooooth cheeckoouut prooceess,I just wanted to say your customer support team is incredible! They...,resolved,MEDIUM,2023-12-06 15:10:45,2023-12-07 15:10:45
1129,215,,suggestion,Offer gift wrapping service,A loyalty rewards program would make me shop here even more often. Points for purchases that can be redeemed for discounts would be amazing.,,low,2025-06-15 02:49:29,2025-06-19 02:49:29
889,3707,5764,,How do I return an item?,I need to change the shipping address on my recent order. Is that still possible at this point?,closed,medium,,2025-06-08 15:00:52
18,4607,668,question,WHAT PAYMENT METHODS DO YOU ACCEPT?,I'm looking at a product on your site and wondering if it's ...,,low,2024-10-17 07:23:31,2024-10-24 07:23:31
1497,3526,4505,,Is this product compatible?,I need to change the shipping address on my recent order. Is that still possible at this point?,in_progress,medium,2024-11-29 00:25:17,
1404,66,,complaint,Order arrived damaged,  The product I received looks nothing like the photos on the website. The quality is much lower than advertised. I want a full refund.  	,resolved,medium,2023-11-03 01:40:07,--
826,3658,8621,question,not available,I'm looking at a product on your site and wondering if it's compatible with my current setup. Can someone help me verify?,resolved,,2024-05-30 08:49:08,2024-06-01 08:49:08
1260,1016,,question,Is this item in stock?,II plaaceed aan oordeer 3 daays aagoo aand haaveen't reeceeiiveed aany shiippiing uupdaatees. Coouuld yoouu pleeaasee leet mee knoow thee cuurreent staatuus?,resolved,low,2025-06-29 00:29:29,2025-06-30 00:29:29
1385,3103,4968,question,How long is the warranty?,II neeeed too chaangee thee shiippiing aaddreess oon my reeceent oordeer. IIs thaat stiill poossiiblee aat thiis pooiint?,open,low,2025-06-25 17:25:06,
590,2546,5018,???,Poor customer service experience,The product I received looks nothing like the photos on the website. The quality is much lower than advertised. I want a full refund.,RESOLVED,high,2023-12-06 08:50:22,2023-12-08 08:50:22
582,3291,,question,,I'm looking at a product on your site and wondering if it's compatible with my current setup. Can someone help me verify?,resolved,high,2025-04-18 02:35:11,2025-04-24 02:35:11
1082,4725,6870,suggestion,,"Your mobile app could really use some improvements. The search function is slow and filtering products is not intuitive.
",RESOLVED,,2025-06-19 18:47:26,2025-06-26 18:47:26
490,2165,,suggestion,Improve mobile app experience,I think you should consider using more sustainable packaging materials. The amount of plastic in my last shipment was excessive.,closed,medium,2023-07-10 08:26:56,2023-07-17 08:26:56
729,1970,,complaint,,My order arrived today but the box was completely crushed and the product inside is damaged. This is unacceptable and I need a replacement sent immediately.,open,medium,2025-01-19 04:03:06,
1054,427,2795,question,None,I need to change the shipping address on my recent order. Is that still possible at this point?,open,medum,2024-11-07 03:08:48,
1192,2639,33,complaint,"Wrong item received
",My order arrived today but the box was completely crushed and the product inside is damaged. This is unacceptable and I need a replacement sent immediately.,resolved,low,2025-03-30 18:43:07,2025-04-04 18:43:07
269,4932,,question,Do you offer price matching?,I need to change the shipping address on my recent order. Is that still possible at this point?,closed,medium,2025-06-17 19:51:48,2025-06-22 19:51:48
266,3643,2182,complaint,Charged incorrectly,The product I received looks nothing like the photos on the website. The quality is much lower than advertised. I want a full refund.,RESOLVED,medium,2024-01-22 17:56:44,2024-01-26 17:56:44
1044,3956,,question,How do I return an item?,Just checking on the warranty coverage for electronics. Does it cover accidental damage or just manufacturing defects?,resolved,LOW,2025-06-12 19:26:12,2025-06-14 19:26:12
1055,615,,suggestion,Improve mobile app experience,Your mobile app could really use some improvements. The search function is slow and filtering products is not intuitive.,None,medium,2025-04-26 19:51:09,2025-05-03 19:51:09
1227,719,9196,praise,Fast shipping - impressed!,The new website redesign is fantastic. Everything is easy to find and the checkout process is seamless. Great job to the whole team!,closed,low,2023-08-25 21:38:26,2023-08-29 21:38:26
952,863,6425,question,Is this item in stock?,I need to change the shipping address on my recent order. Is that still possible at this point?,open,medium,2024-11-14 09:00:16,
59,1372,6833,suggestion,Better packaging needed,  Your mobile app could really use some improvements. The search function is slow and filtering products is not intuitive.  	,resolved,low,2025-06-16 06:02:36,2025-06-23 06:02:36
1259,1612,6764,  complaint  ,Missing items from my order,  My order arrived today but the box was completely crushed and the product inside is damaged. This is unacceptable and I need a replacement sent immediately.  	,resolved,low,2025-06-28 05:58:15,2025-07-04 05:58:15
1374,3914,4113,question,How do I return an item?,I need to change the shipping address on my recent order. Is that still possible at this point?,closed,medium,2025-06-27 06:24:19,2025-06-28 06:24:19
1128,1359,453,question,Can I change my shipping address?,Just checking on the warranty coverage for electronics. Doe...,RESOLVED,low,2024-03-23 01:11:01,2024-03-25 01:11:01
133,4107,6623,not available,,I received a completely wrong item. I ordered a laptop charger and got a phone case instead. Very frustrated with this mistake.,resolved,medium,2025-06-13 08:17:02,2025-06-19 08:17:02 
700,3681,,praise,Excellent...,The new website redesign is fantastic. Everything is easy to find and the checkout process is seamless. Great job to the whole team!,EMPTY,medium,2024-12-09 07:29:29,not available
487,2105,,suggestion,Better packaging needed,It would be great if you could add more payment options like cryptocurrency or buy-now-pay-later services. I think a lot of customers would appreciate it.,open,low,2025-06-21 08:54:42,
197,355,9409,complaint,Wrong item received,,resolved,low,2025-06-27 22:45:44,2025-06-28 22:45:44
559,1857,2081,question,What payment methods do you accept?,I placed an order 3 days ago and haven't received any shipping updates. Could you please let me know the current status?,resolved,--,2024-05-20 20:16:36,UNKNOWN
1453,1042,,PRAISE,Fantastic pro...,I just wanted to say your customer support team is incredible! They resolved my issue within minutes and were so friendly. Keep it up!,resolved,low,10/11/2024,
682,3700,,complaint,Refund not processed,My order was supposed to arrive last week and the tracking hasn't updated in 5 days. This is extremely disappointing service.,resolved,high,,2023-01-07 21:24:29
1209,4193,,suggestion,Improve return process,  It would be great if you could add more payment options like cryptocurrency or buy-now-pay-later services. I think a lot of customers would appreciate it.  	,resolved,MEDIUM,2024-08-30 23:52:12,???
291,565,7458,complaint,Product not as described,I received a completely wrong item. I ordered a laptop charger and got a phone case instead. Very frustrated with this mistake.,open,medium,2025-06-11 23:12:34,
849,2961,,complaint_typo,Late delivery,I received a completely wrong item. I ordered a laptop charger ...,in_progress,medium,2025-06-18 08:31:35,
31,3248,1016,COMPLAINT,Defective product received,My order was supposed to arrive last week and the tracking hasn't updated in 5 days. This is extremely disappointing service.,closed,low,2025-06-03 21:40:18,2025-06-04 21:40:18
976,4679,,suggestion,Faster ship...,It would be great if you could add more payment options like cryptocurrency or buy-now-pay-later services. I think a lot of customers would appreciate it.,open,high,2025-06-13 02:34:54,
356,4419,3535,question,How long is the warranty?,I'm looking at a product on your site and wondering if it's compatible with my current setup. Can someone help me verify?,resolved,MEDIUM,2023-03-19 13:28:41,2023-03-24 13:28:41
69,4033,2646,suggestion,,A loyalty rewards program would make me shop here even more often. Points for purchases that can be redeemed for discounts would be amazing.,resolved,medium,,2025-06-15 14:08:34
1416,326,,question,Is this product compatible? ,I placed an order 3 days ago and haven't received any shipping updates. Could you please let me know the current status?,resolved,low,3025-06-19 00:49:35,2025-06-25 00:49:35
